name,Gun,Knife,Wrench,Pliers,Scissors
P00190,-1,1,-1,-1,-1
P00191,-1,1,-1,-1,-1
P00192,-1,1,-1,-1,-1
P00193,-1,1,-1,-1,-1
P00194,-1,1,-1,-1,-1
P00195,-1,1,-1,-1,-1
P00196,-1,1,-1,-1,-1
P00197,-1,1,-1,-1,-1
P00199,-1,1,-1,-1,-1
P00200,-1,1,-1,-1,-1
P00201,-1,1,-1,-1,-1
P00202,-1,1,-1,-1,-1
P00203,-1,1,-1,-1,-1
P00204,-1,1,-1,-1,-1
P00205,-1,1,-1,-1,-1
P00206,-1,1,-1,-1,-1
P00207,-1,1,-1,-1,-1
P00208,-1,1,-1,-1,-1
P00210,-1,1,-1,-1,-1
P00211,-1,1,-1,-1,-1
P00212,-1,1,-1,-1,-1
P00213,-1,1,-1,-1,-1
P00214,-1,1,-1,-1,-1
P00215,-1,1,-1,-1,-1
P00216,-1,1,-1,-1,-1
P00217,-1,1,-1,-1,-1
P00218,-1,1,-1,-1,-1
P00219,-1,1,-1,-1,-1
P00220,-1,1,-1,-1,-1
P00221,-1,1,-1,-1,-1
P00223,-1,1,-1,-1,-1
P00225,-1,1,-1,-1,-1
P00226,-1,1,-1,-1,-1
P00227,-1,1,-1,-1,-1
P00228,-1,1,-1,-1,-1
P00230,-1,1,-1,-1,-1
P00232,-1,1,-1,-1,-1
P00233,-1,1,-1,-1,-1
P00235,-1,1,-1,-1,-1
P00236,-1,1,-1,-1,-1
P00237,-1,1,-1,-1,-1
P00238,-1,1,-1,-1,-1
P00240,-1,1,-1,-1,-1
P00241,-1,1,-1,-1,-1
P00242,-1,1,-1,-1,-1
P00243,-1,1,-1,-1,-1
P00244,-1,1,-1,-1,-1
P00245,-1,1,-1,-1,-1
P00246,-1,1,-1,-1,-1
P00248,-1,1,-1,-1,-1
P00250,-1,1,-1,-1,-1
P00251,-1,1,-1,-1,-1
P00254,-1,1,-1,-1,-1
P00255,-1,1,-1,-1,-1
P00256,-1,1,-1,-1,-1
P00257,-1,1,-1,-1,-1
P00258,-1,1,-1,-1,-1
P00259,-1,1,-1,-1,-1
P00260,-1,1,-1,-1,-1
P00261,-1,1,-1,-1,-1
P00262,-1,1,-1,-1,-1
P00263,-1,1,-1,-1,-1
P00264,-1,1,-1,-1,-1
P00265,-1,1,-1,-1,-1
P00266,-1,1,-1,-1,-1
P00267,-1,1,-1,-1,-1
P00268,-1,1,-1,-1,-1
P00270,-1,1,-1,-1,-1
P00271,-1,1,-1,-1,-1
P00274,-1,1,-1,-1,-1
P00275,-1,1,-1,-1,-1
P00276,-1,1,-1,-1,-1
P00278,-1,1,-1,-1,-1
P00279,-1,1,-1,-1,-1
P00280,-1,1,-1,-1,-1
P00281,-1,1,-1,-1,-1
P00282,-1,1,-1,-1,-1
P00283,-1,1,-1,-1,-1
P00284,-1,1,-1,-1,-1
P00285,-1,1,-1,-1,-1
P00286,-1,1,-1,-1,-1
P00287,-1,1,-1,-1,-1
P00288,-1,1,-1,-1,-1
P00289,-1,1,-1,-1,-1
P00290,-1,1,-1,-1,-1
P00291,-1,1,-1,-1,-1
P00292,-1,1,-1,-1,-1
P00293,-1,1,-1,-1,-1
P00295,-1,1,-1,-1,-1
P00296,-1,1,-1,-1,-1
P00297,-1,1,-1,-1,-1
P00300,-1,1,-1,-1,-1
P00302,-1,1,-1,-1,-1
P00303,-1,1,-1,-1,-1
P00304,-1,1,-1,-1,-1
P00305,-1,1,-1,-1,-1
P00306,-1,1,-1,-1,-1
P00307,-1,1,-1,-1,-1
P00308,-1,1,-1,-1,-1
P00309,-1,1,-1,-1,-1
P00310,-1,1,-1,-1,-1
P00311,-1,1,-1,-1,-1
P00312,-1,1,-1,-1,-1
P00313,-1,1,-1,-1,-1
P00314,-1,1,-1,-1,-1
P00316,-1,1,-1,-1,-1
P00317,-1,1,-1,-1,-1
P00318,-1,1,-1,-1,-1
P00319,-1,1,-1,-1,-1
P00320,-1,1,-1,-1,-1
P00321,-1,1,-1,-1,-1
P00322,-1,1,-1,-1,-1
P00323,-1,1,-1,-1,-1
P00324,-1,1,-1,-1,-1
P00325,-1,1,-1,-1,-1
P00326,-1,1,-1,-1,-1
P00328,-1,1,-1,-1,-1
P00330,-1,1,-1,-1,-1
P00331,-1,1,-1,-1,-1
P00332,-1,1,-1,-1,-1
P00333,-1,1,-1,-1,-1
P00334,-1,1,-1,-1,-1
P00335,-1,1,-1,-1,-1
P00336,-1,1,-1,-1,-1
P00337,-1,1,-1,-1,-1
P00338,-1,1,-1,-1,-1
P00339,-1,1,-1,-1,-1
P00340,-1,1,-1,-1,-1
P00341,-1,1,-1,-1,-1
P00342,-1,1,-1,-1,-1
P00343,-1,1,-1,-1,-1
P00344,-1,1,-1,-1,-1
P00345,-1,1,-1,-1,-1
P00347,-1,1,-1,-1,-1
P00348,-1,1,-1,-1,-1
P00350,-1,1,-1,-1,-1
P00351,-1,1,-1,-1,-1
P00352,-1,1,-1,-1,-1
P00353,-1,1,-1,-1,-1
P00354,-1,1,-1,-1,-1
P00355,-1,1,-1,-1,-1
P00356,-1,1,-1,-1,-1
P00357,-1,1,-1,-1,-1
P00358,-1,1,-1,-1,-1
P00359,-1,1,-1,-1,-1
P00360,-1,1,-1,-1,-1
P00361,-1,1,-1,-1,-1
P00362,-1,1,-1,-1,-1
P00363,-1,1,-1,-1,-1
P00364,-1,1,-1,-1,-1
P00365,-1,1,-1,-1,-1
P00366,-1,1,-1,-1,-1
P00367,-1,1,-1,-1,-1
P00368,-1,1,-1,-1,-1
P00369,-1,1,-1,-1,-1
P00370,-1,1,-1,-1,-1
P00371,-1,1,-1,-1,-1
P00372,-1,1,-1,-1,-1
P00373,-1,1,-1,-1,-1
P00376,-1,1,-1,-1,-1
P00377,-1,1,-1,-1,-1
P00378,-1,1,-1,-1,-1
P00379,-1,1,-1,-1,-1
P00380,-1,1,-1,-1,-1
P00382,-1,1,-1,-1,-1
P00383,-1,1,-1,-1,-1
P00385,-1,1,-1,-1,-1
P00386,-1,1,-1,-1,-1
P00387,-1,1,-1,-1,-1
P00388,-1,1,-1,-1,-1
P00389,-1,1,-1,-1,-1
P00390,-1,1,-1,-1,-1
P00392,-1,1,-1,-1,-1
P00393,-1,1,-1,-1,-1
P00394,-1,1,-1,-1,-1
P00396,-1,1,-1,-1,-1
P00398,-1,1,-1,-1,-1
P00399,-1,1,-1,-1,-1
P00400,-1,1,-1,-1,-1
P00401,-1,1,-1,-1,-1
P00403,-1,1,-1,-1,-1
P00404,-1,1,-1,-1,-1
P00405,-1,1,-1,-1,-1
P00406,-1,1,-1,-1,-1
P00407,-1,1,-1,-1,-1
P00408,-1,1,-1,-1,-1
P00409,-1,1,-1,-1,-1
P00410,-1,1,-1,-1,-1
P00412,-1,1,-1,-1,-1
P00413,-1,1,-1,-1,-1
P00414,-1,1,-1,-1,-1
P00416,-1,1,-1,-1,-1
P00417,-1,1,-1,-1,-1
P00418,-1,1,-1,-1,-1
P00419,-1,1,-1,-1,-1
P00420,-1,1,-1,-1,-1
P00421,-1,1,-1,-1,-1
P00422,-1,1,-1,-1,-1
P00424,1,1,-1,-1,-1
P00426,1,1,-1,-1,-1
P00427,1,1,-1,-1,-1
P00429,1,1,-1,-1,-1
P00431,1,1,-1,-1,-1
P00432,1,1,-1,-1,-1
P00433,1,1,-1,-1,-1
P00434,1,1,-1,-1,-1
P00435,1,1,-1,-1,-1
P00436,1,1,-1,-1,-1
P00437,1,1,-1,-1,-1
P00440,1,1,-1,-1,-1
P00441,1,1,-1,-1,-1
P00442,1,1,-1,-1,-1
P00443,1,1,-1,-1,-1
P00444,1,1,-1,-1,-1
P00445,1,1,-1,-1,-1
P00446,1,1,-1,-1,-1
P00447,1,1,-1,-1,-1
P00449,1,1,-1,-1,-1
P00451,1,1,-1,-1,-1
P00452,1,1,-1,-1,-1
P00453,1,1,-1,-1,-1
P00454,1,1,-1,-1,-1
P00455,1,1,-1,-1,-1
P00456,1,1,-1,-1,-1
P00457,1,1,-1,-1,-1
P00458,1,1,-1,-1,-1
P00459,1,1,-1,-1,-1
P00461,1,1,-1,-1,-1
P00462,1,1,-1,-1,-1
P00463,1,1,-1,-1,-1
P00464,1,1,-1,-1,-1
P00465,1,1,-1,-1,-1
P00466,1,1,-1,-1,-1
P00467,1,1,-1,-1,-1
P00468,1,1,-1,-1,-1
P00469,1,1,-1,-1,-1
P00470,1,1,-1,-1,-1
P00471,1,1,-1,-1,-1
P00472,1,1,-1,-1,-1
P00473,1,1,-1,-1,-1
P00474,1,1,-1,-1,-1
P00475,1,1,-1,-1,-1
P00476,1,1,-1,-1,-1
P00477,1,1,-1,-1,-1
P00479,1,1,-1,-1,-1
P00480,1,1,-1,-1,-1
P00481,1,1,-1,-1,-1
P00482,1,1,-1,-1,-1
P00485,-1,1,-1,-1,-1
P00486,1,1,-1,-1,-1
P00487,1,1,-1,-1,-1
P00488,1,1,-1,-1,-1
P00489,-1,1,-1,-1,-1
P00490,1,1,-1,-1,-1
P00494,1,1,-1,-1,-1
P00495,1,1,-1,-1,-1
P00496,1,1,-1,-1,-1
P00497,1,1,-1,-1,-1
P00498,1,1,-1,-1,-1
P00499,1,1,-1,-1,-1
P00500,1,1,-1,-1,-1
P00504,1,1,-1,-1,-1
P00505,1,1,-1,-1,-1
P00506,1,1,-1,-1,-1
P00508,1,1,-1,-1,-1
P00509,1,1,-1,-1,-1
P00510,1,1,-1,-1,-1
P00512,1,1,-1,-1,-1
P00513,1,1,-1,-1,-1
P00516,1,1,-1,-1,-1
P00517,1,1,-1,-1,-1
P00518,1,1,-1,-1,-1
P00519,1,1,-1,-1,-1
P00520,1,1,-1,-1,-1
P00521,1,1,-1,-1,-1
P00522,1,1,-1,-1,-1
P00523,1,1,-1,-1,-1
P00524,1,1,-1,-1,-1
P00525,1,1,-1,-1,-1
P00526,1,1,-1,-1,-1
P00527,1,1,-1,-1,-1
P00528,1,1,-1,-1,-1
P00530,1,1,-1,-1,-1
P00531,1,1,-1,-1,-1
P00532,1,1,-1,-1,-1
P00533,1,1,-1,-1,-1
P00534,1,1,-1,-1,-1
P00535,1,1,-1,-1,-1
P00537,1,1,-1,-1,-1
P00538,1,1,-1,-1,-1
P00539,1,1,-1,-1,-1
P00541,1,1,-1,-1,-1
P00542,1,1,-1,-1,-1
P00543,1,1,-1,-1,-1
P00545,1,1,-1,-1,-1
P00546,1,1,-1,-1,-1
P00547,-1,1,-1,-1,-1
P00548,1,1,-1,-1,-1
P00549,-1,1,-1,-1,-1
P00550,1,1,-1,-1,-1
P00551,-1,1,-1,-1,-1
P00552,1,1,-1,-1,-1
P00553,-1,1,-1,-1,-1
P00557,-1,1,-1,-1,-1
P00559,-1,1,-1,-1,-1
P00560,1,1,-1,-1,-1
P00561,-1,1,-1,-1,-1
P00562,1,1,-1,-1,-1
P00564,1,1,-1,-1,-1
P00565,-1,1,-1,-1,-1
P00566,1,1,-1,-1,-1
P00567,-1,1,-1,-1,-1
P00568,1,1,-1,-1,-1
P00569,-1,1,-1,-1,-1
P00571,-1,1,-1,-1,-1
P00573,-1,1,-1,-1,-1
P00574,-1,1,-1,-1,-1
P00575,1,1,-1,-1,-1
P00576,-1,1,-1,-1,-1
P00577,-1,1,-1,-1,-1
P00578,1,1,-1,-1,-1
P00579,-1,1,-1,-1,-1
P00580,-1,1,-1,-1,-1
P00581,1,1,-1,-1,-1
P00582,-1,1,-1,-1,-1
P00583,-1,1,-1,-1,-1
P00584,1,1,-1,-1,-1
P00585,-1,1,-1,-1,-1
P00586,-1,1,-1,-1,-1
P00588,-1,1,-1,-1,-1
P00590,1,1,-1,-1,-1
P00591,-1,1,-1,-1,-1
P00592,1,1,-1,-1,-1
P00594,-1,1,-1,-1,-1
P00595,1,1,-1,-1,-1
P00596,-1,1,-1,-1,-1
P00597,-1,1,-1,-1,-1
P00599,-1,1,-1,-1,-1
P00601,1,1,-1,-1,-1
P00602,-1,1,-1,-1,-1
P00603,-1,1,-1,-1,-1
P00604,-1,1,-1,-1,-1
P00605,1,1,-1,-1,-1
P00606,1,1,-1,-1,-1
P00607,-1,1,-1,-1,-1
P00608,-1,1,-1,-1,-1
P00611,-1,1,-1,-1,-1
P00612,-1,1,-1,-1,-1
P00613,1,1,-1,-1,-1
P00614,-1,1,-1,-1,-1
P00615,-1,1,-1,-1,-1
P00616,1,1,-1,-1,-1
P00617,-1,1,-1,-1,-1
P00620,-1,1,-1,-1,-1
P00621,-1,1,-1,-1,-1
P00622,1,1,-1,-1,-1
P00624,-1,1,-1,-1,-1
P00625,1,1,-1,-1,-1
P00626,-1,1,-1,-1,-1
P00628,1,1,-1,-1,-1
P00631,-1,1,-1,-1,-1
P00633,1,1,-1,-1,-1
P00635,-1,1,-1,-1,-1
P00636,1,1,-1,-1,-1
P00637,-1,1,-1,-1,-1
P00638,1,1,-1,-1,-1
P00639,-1,1,-1,-1,-1
P00640,-1,1,-1,-1,-1
P00641,1,1,-1,-1,-1
P00642,-1,1,-1,-1,-1
P00644,1,1,-1,-1,-1
P00646,1,1,-1,-1,-1
P00647,-1,1,-1,-1,-1
P00648,-1,1,-1,-1,-1
P00650,-1,1,-1,-1,-1
P00653,-1,1,-1,-1,-1
P00654,-1,1,-1,-1,-1
P00655,-1,1,-1,-1,-1
P00656,1,1,-1,-1,-1
P00657,-1,1,-1,-1,-1
P00658,-1,1,-1,-1,-1
P00659,1,1,-1,-1,-1
P00664,-1,1,-1,-1,-1
P00665,1,1,-1,-1,-1
P00667,-1,1,-1,-1,-1
P00668,1,1,-1,-1,-1
P00669,-1,1,-1,-1,-1
P00670,-1,1,-1,-1,-1
P00671,1,1,-1,-1,-1
P00672,-1,1,-1,-1,-1
P00673,1,1,-1,-1,-1
P00674,-1,1,-1,-1,-1
P00676,-1,1,-1,-1,-1
P00677,-1,1,-1,-1,-1
P00679,-1,1,-1,-1,-1
P00680,-1,1,-1,-1,-1
P00681,-1,1,-1,-1,-1
P00682,-1,1,-1,-1,-1
P00683,1,1,-1,-1,-1
P00684,-1,1,-1,-1,-1
P00685,1,1,-1,-1,-1
P00687,-1,1,-1,-1,-1
P00688,-1,1,-1,-1,-1
P00690,1,1,-1,-1,-1
P00691,-1,1,-1,-1,-1
P00692,-1,1,-1,-1,-1
P00693,-1,1,-1,-1,-1
P00695,-1,1,-1,-1,-1
P00696,-1,1,-1,-1,-1
P00697,-1,1,-1,-1,-1
P00699,-1,1,-1,-1,-1
P00700,-1,1,-1,-1,-1
P00701,-1,1,-1,-1,-1
P00702,1,1,-1,-1,-1
P00703,-1,1,-1,-1,-1
P00704,-1,1,-1,-1,-1
P00706,-1,1,-1,-1,-1
P00707,1,1,-1,-1,-1
P00708,-1,1,-1,-1,-1
P00709,-1,1,-1,-1,-1
P00710,-1,1,-1,-1,-1
P00712,1,1,-1,-1,-1
P00713,-1,1,-1,-1,-1
P00715,-1,1,-1,-1,-1
P00716,1,1,-1,-1,-1
P00717,-1,1,-1,-1,-1
P00721,-1,1,-1,-1,-1
P00722,1,1,-1,-1,-1
P00723,-1,1,-1,-1,-1
P00724,-1,1,-1,-1,-1
P00725,-1,1,-1,-1,-1
P00727,-1,1,-1,-1,-1
P00728,-1,1,-1,-1,-1
P00730,1,1,-1,-1,-1
P00731,-1,1,-1,-1,-1
P00732,-1,1,-1,-1,-1
P00733,-1,1,-1,-1,-1
P00734,1,1,-1,-1,-1
P00735,-1,1,-1,-1,-1
P00736,-1,1,-1,-1,-1
P00737,-1,1,-1,-1,-1
P00738,1,1,-1,-1,-1
P00739,-1,1,-1,-1,-1
P00740,-1,1,-1,-1,-1
P00742,1,1,-1,-1,-1
P00743,-1,1,-1,-1,-1
P00744,-1,1,-1,-1,-1
P00745,-1,1,-1,-1,-1
P00746,1,1,-1,-1,-1
P00749,-1,1,-1,-1,-1
P00750,1,1,-1,-1,-1
P00751,-1,1,-1,-1,-1
P00752,-1,1,-1,-1,-1
P00753,-1,1,-1,-1,-1
P00754,1,1,-1,-1,-1
P00755,-1,1,-1,-1,-1
P00757,-1,1,-1,-1,-1
P00758,1,1,-1,-1,-1
P00760,-1,1,-1,-1,-1
P00761,-1,1,-1,-1,-1
P00762,1,1,-1,-1,-1
P00764,-1,1,-1,-1,-1
P00766,-1,1,-1,-1,-1
P00767,-1,1,-1,-1,-1
P00768,1,1,-1,-1,-1
P00769,-1,1,-1,-1,-1
P00770,-1,1,-1,-1,-1
P00771,-1,1,-1,-1,-1
P00772,1,1,-1,-1,-1
P00773,-1,1,-1,-1,-1
P00774,-1,1,-1,-1,-1
P00776,-1,1,-1,-1,-1
P00777,-1,1,-1,-1,-1
P00778,1,1,-1,-1,-1
P00779,-1,1,-1,-1,-1
P00782,-1,1,-1,-1,-1
P00783,1,1,-1,-1,-1
P00784,-1,1,-1,-1,-1
P00785,-1,1,-1,-1,-1
P00786,-1,1,-1,-1,-1
P00787,1,1,-1,-1,-1
P00788,-1,1,-1,-1,-1
P00789,-1,1,-1,-1,-1
P00790,1,1,-1,-1,-1
P00791,-1,1,-1,-1,-1
P00792,-1,1,-1,-1,-1
P00793,1,1,-1,-1,-1
P00794,-1,1,-1,-1,-1
P00795,-1,1,-1,-1,-1
P00796,1,1,-1,-1,-1
P00797,-1,1,-1,-1,-1
P00799,-1,1,-1,-1,-1
P00800,1,1,-1,-1,-1
P00801,-1,1,-1,-1,-1
P00802,-1,1,-1,-1,-1
P00803,1,1,-1,-1,-1
P00804,-1,1,-1,-1,-1
P00806,1,1,-1,-1,-1
P00808,-1,1,-1,-1,-1
P00809,1,1,-1,-1,-1
P00810,-1,1,-1,-1,-1
P00811,-1,1,-1,-1,-1
P00813,-1,1,-1,-1,-1
P00814,-1,1,-1,-1,-1
P00815,1,1,-1,-1,-1
P00817,-1,1,-1,-1,-1
P00819,-1,1,-1,-1,-1
P00820,1,1,-1,-1,-1
P00821,-1,1,-1,-1,-1
P00822,1,1,-1,-1,-1
P00823,-1,1,-1,-1,-1
P00824,-1,1,-1,-1,-1
P00826,-1,1,-1,-1,-1
P00828,1,1,-1,-1,-1
P00830,-1,1,-1,-1,-1
P00832,-1,1,-1,-1,-1
P00833,-1,1,-1,-1,-1
P00834,1,1,-1,-1,-1
P00835,-1,1,-1,-1,-1
P00837,-1,1,-1,-1,-1
P00838,1,1,-1,-1,-1
P00839,-1,1,-1,-1,-1
P00840,-1,1,-1,-1,-1
P00841,-1,1,-1,-1,-1
P00842,1,1,-1,-1,-1
P00843,-1,1,-1,-1,-1
P00844,-1,1,-1,-1,-1
P00845,-1,1,-1,-1,-1
P00846,1,1,-1,-1,-1
P00847,-1,1,-1,-1,-1
P00848,-1,1,-1,-1,-1
P00849,-1,1,-1,-1,-1
P00851,-1,1,-1,-1,-1
P00852,-1,1,-1,-1,-1
P00853,-1,1,-1,-1,-1
P00854,1,1,-1,-1,-1
P00855,-1,1,-1,-1,-1
P00856,-1,1,-1,-1,-1
P00858,1,1,-1,-1,-1
P00859,-1,1,-1,-1,-1
P00860,-1,1,-1,-1,-1
P00861,-1,1,-1,-1,-1
P00862,1,1,-1,-1,-1
P00864,-1,1,-1,-1,-1
P00865,1,1,-1,-1,-1
P00866,-1,1,-1,-1,-1
P00867,-1,1,-1,-1,-1
P00868,-1,1,-1,-1,-1
P00871,-1,1,-1,-1,-1
P00872,-1,1,-1,-1,-1
P00873,1,1,-1,-1,-1
P00874,-1,1,-1,-1,-1
P00875,-1,1,-1,-1,-1
P00876,-1,1,-1,-1,-1
P00877,1,1,-1,-1,-1
P00878,-1,1,-1,-1,-1
P00879,-1,1,-1,-1,-1
P00881,1,1,-1,-1,-1
P00882,1,1,-1,-1,-1
P00883,1,1,-1,-1,-1
P00884,1,1,-1,-1,-1
P00885,1,1,-1,-1,-1
P00886,-1,1,-1,-1,-1
P00887,1,1,-1,-1,-1
P00888,1,1,-1,-1,-1
P00889,1,1,-1,-1,-1
P00891,1,1,-1,-1,-1
P00892,1,1,-1,-1,-1
P00893,1,1,-1,-1,-1
P00894,1,1,-1,-1,-1
P00895,-1,1,-1,-1,-1
P00897,-1,1,-1,-1,-1
P00898,-1,1,-1,-1,-1
P00899,1,1,-1,-1,-1
P00901,-1,1,-1,-1,-1
P00902,-1,1,-1,-1,-1
P00903,-1,1,-1,-1,-1
P00906,-1,1,-1,-1,-1
P00907,-1,1,-1,-1,-1
P00908,-1,1,-1,-1,-1
P00909,-1,1,-1,-1,-1
P00910,-1,1,-1,-1,-1
P00912,-1,1,-1,-1,-1
P00913,-1,1,-1,-1,-1
P00914,-1,1,-1,-1,-1
P00915,-1,1,-1,-1,-1
P00917,-1,1,-1,-1,-1
P00918,-1,1,-1,-1,-1
P00919,-1,1,-1,-1,-1
P00920,-1,1,-1,-1,-1
P00922,-1,1,-1,-1,-1
P00923,-1,1,-1,-1,-1
P00924,-1,1,-1,-1,-1
P00925,-1,1,-1,-1,-1
P00926,-1,1,-1,-1,-1
P00927,-1,1,-1,-1,-1
P00928,-1,1,-1,-1,-1
P00929,-1,1,-1,-1,-1
P00930,-1,1,-1,-1,-1
P00932,-1,1,-1,-1,-1
P00933,-1,1,-1,-1,-1
P00934,-1,1,-1,-1,-1
P00935,-1,1,-1,-1,-1
P00936,-1,1,-1,-1,-1
P00937,-1,1,-1,-1,-1
P00938,1,1,-1,-1,-1
P00939,1,1,-1,-1,-1
P00941,1,1,-1,-1,-1
P00943,-1,1,-1,-1,-1
P00944,-1,1,-1,-1,-1
P00945,-1,1,-1,-1,-1
P00946,-1,1,-1,-1,-1
P00949,-1,1,-1,-1,-1
P00950,-1,1,-1,-1,-1
P00952,-1,1,-1,-1,-1
P00953,-1,1,-1,-1,-1
P00954,-1,1,-1,-1,-1
P00955,-1,1,-1,-1,-1
P00956,-1,1,-1,-1,-1
P00957,-1,1,-1,-1,-1
P00958,-1,1,-1,-1,-1
P00959,1,1,-1,-1,-1
P00960,1,1,-1,-1,-1
P00961,1,1,-1,-1,-1
P00962,-1,1,-1,-1,-1
P00963,1,1,-1,-1,-1
P00964,1,1,-1,-1,-1
P00965,-1,1,-1,-1,-1
P00966,-1,1,-1,-1,-1
P00967,1,1,-1,-1,-1
P00968,-1,1,-1,-1,-1
P00969,-1,1,-1,-1,-1
P00970,-1,1,-1,-1,-1
P00971,-1,1,-1,-1,-1
P00972,1,1,-1,-1,-1
P00973,-1,1,-1,-1,-1
P00974,1,1,-1,-1,-1
P00975,-1,1,-1,-1,-1
P00977,-1,1,-1,-1,-1
P00978,-1,1,-1,-1,-1
P00979,-1,1,-1,-1,-1
P00980,-1,1,-1,-1,-1
P00981,-1,1,-1,-1,-1
P00982,-1,1,-1,-1,-1
P00983,1,1,-1,-1,-1
P00984,-1,1,-1,-1,-1
P00985,1,1,-1,-1,-1
P00986,-1,1,-1,-1,-1
